Town,Total,White,Black / African American,American Indian / Alaska Native,Asian,Hispanic,Native Hawaiian / Pacific Islander,Some other race,Two or more races,Male,Female,Under 5 years,5 to 17 years,18 to 24 years,25 to 34 years,35 to 44 years,45 to 54 years,55 to 64 years,65 to 74 years,75 years and over,Median Age,Population in Households,Population in Group Quarters,Total Lang,Speak only English,Speak some other language,"Speak English ""very well""","Speak English ""well""","Speak English ""not well""","Speak English ""not at all""",Total MF,Male,Female,Working,Drove Alone,Carpooled,Bus or Trolley Bus,Streetcar or Trolley Car,Subway or Elevated,Railroad,Ferryboat,Taxicab,Motorcycle,Bicycle,  Walked,Other Means,Worked at Home,Mean Travel Time to Work (min),Total households,Average household size,1 Person Household,2 Person Household,3 Person Household,4 Person Household,5 Person Household,6 Person Household,7+ Person Household,Average Vehicles per Household,No vehicle available,1 vehicle available,2 vehicles available,3 vehicles available,4 vehicles available,5 or more vehicles available,Median household income ($),"Under 10,000","10,000 to 19,999","20,000 to 29,999","30,000 to 39,999","40,000 to 49,999","50,000 to 59,999","60,000 to 74,999","75,000 to 99,999","100,000 to 124,999","125,000 to 149,999","150,000 to 199,999","200,000 and up"
Abington,15985,14617,313,41,282,310,2,226,194,7809,8176,935,2747,1244,2081,2342,2707,2020,1086,823,40,15893,92,15050,13916,1134,718,274,142,0,12308,5928,6380,8448,7196,540,91,0,117,319,0,0,0,0,36,12,137,29.4,6080,2.61,1527,1889,1069,936,428,161,70,1.93,244,1912,2500,993,328,103,74589,275,496,314,340,470,508,659,835,1071,399,508,205
Acton,21924,16555,232,13,4062,560,3,159,340,10754,11170,1140,5119,1085,1597,3295,4423,2854,1367,1044,42,21788,136,20784,15847,4937,3351,934,500,152,15652,7637,8015,10440,8229,762,17,0,107,445,0,0,0,14,184,46,636,32.6,8187,2.66,1886,2367,1493,1707,588,118,28,1.85,326,2253,4209,1166,173,60,105523,200,347,328,555,455,412,704,882,828,773,995,1708
Acushnet,10303,9919,48,16,31,119,0,63,107,5060,5243,465,1625,857,953,1484,1844,1443,874,758,44,10293,10,9838,7902,1936,1294,416,183,43,8451,4103,4348,5136,4431,394,0,0,0,70,0,0,16,12,21,16,176,24.2,3934,2.62,874,1283,758,679,239,63,38,2.04,170,1150,1480,698,341,95,62457,188,238,470,327,237,359,398,600,543,224,267,83
Adams,8485,8166,51,8,40,98,2,5,115,4091,4394,387,1317,631,945,1043,1364,1204,737,857,44,8466,19,8098,7380,718,550,112,56,0,6873,3146,3727,3881,3194,321,71,0,0,0,0,12,0,28,117,0,138,23.3,3907,2.17,1366,1370,583,395,148,32,13,1.55,459,1589,1352,306,156,45,38340,352,661,350,731,370,213,358,435,265,32,120,20
Agawam,28438,26287,383,29,496,940,0,25,278,13592,14846,1326,4434,2074,2918,3715,4758,4062,2325,2826,44,27761,677,27112,24550,2562,1624,543,349,46,23305,11042,12263,14811,13313,889,0,0,0,0,0,0,0,0,233,100,276,20.6,11664,2.38,3503,3931,1843,1556,541,180,110,1.75,708,4095,4916,1506,279,160,62664,680,1042,917,820,1118,1029,1378,1997,1299,647,498,239
Alford,494,481,3,0,3,2,0,0,5,228,266,13,59,36,24,37,72,114,95,44,55,494,0,481,454,27,18,6,3,0,395,183,212,186,121,28,2,0,0,0,0,0,0,0,3,3,29,24.5,223,2.22,62,97,33,17,13,1,0,1.83,0,86,97,36,0,4,82500,16,6,25,16,14,18,9,26,25,21,34,13
Amherst,37819,27717,1815,47,4109,2757,11,146,1217,18500,19319,839,2929,21115,3012,1997,2517,2615,1381,1414,22,22583,15236,36980,30368,6612,4577,1392,605,38,34447,17431,17016,16519,8204,1067,1205,0,0,10,0,0,0,267,3831,42,1893,17.8,9259,2.44,2530,3096,1678,1315,406,151,83,1.64,852,3466,3472,1156,231,82,50063,900,1419,1058,657,593,519,548,1023,940,471,575,556
Andover,33201,27698,343,15,3415,1196,8,73,453,16021,17180,1689,7065,2479,2309,4537,6297,4372,2299,2154,42,31798,1403,31512,26666,4846,3518,826,238,264,25090,11866,13224,15144,12132,1049,25,0,43,485,0,39,59,56,573,28,655,29.1,11851,2.68,2645,3595,2074,2341,894,237,65,1.89,648,3078,5726,1912,363,124,111002,402,666,565,428,552,558,982,1193,1305,1126,1651,2423
Aquinnah,311,174,4,82,1,15,0,5,30,153,158,20,41,22,30,42,57,70,16,13,46,311,0,291,257,34,30,2,1,1,342,173,169,182,137,0,3,0,0,0,0,0,0,0,10,0,32,18.1,145,2.14,55,44,21,20,5,0,0,1.73,16,41,70,6,8,4,57500,11,18,10,9,19,5,10,14,9,11,11,18
Arlington,42844,35804,981,29,3541,1395,7,178,909,19904,22940,2843,6068,1904,5817,7134,6836,5481,3128,3633,42,42553,291,40001,33132,6869,5103,989,527,250,34556,15845,18711,23227,15437,1409,1506,11,2291,79,0,0,93,489,552,64,1296,29.1,18969,2.24,6463,6138,2971,2479,689,167,62,1.46,1973,8255,7124,1371,183,63,82771,904,1186,935,1210,975,1257,2022,3120,2001,1837,1701,1821
Ashburnham,6081,5713,53,6,71,155,2,2,79,3089,2992,311,1233,507,509,887,1176,863,358,237,41,5914,167,5770,5460,310,233,77,0,0,4605,2197,2408,3104,2846,177,0,0,0,0,0,0,0,0,44,0,37,32.1,2148,2.75,362,743,411,403,167,52,10,2.09,64,445,1119,336,135,49,80000,30,237,92,136,200,93,213,378,397,251,92,29
Ashby,3074,2954,9,2,10,57,1,2,39,1545,1529,151,602,208,258,440,641,451,186,137,43,3074,0,2923,2769,154,122,24,8,0,2313,1103,1210,1603,1384,40,0,0,0,14,0,0,0,0,19,7,139,33.2,1105,2.78,171,401,202,204,92,28,7,2.36,32,170,465,301,86,51,80143,64,72,74,33,33,89,158,223,111,110,105,33
Ashfield,1737,1650,6,8,9,31,0,1,32,853,884,64,267,91,129,218,307,402,150,109,49,1735,2,1673,1583,90,78,12,0,0,1403,615,788,975,678,56,13,0,0,0,0,0,7,6,32,0,183,31.9,760,2.28,206,327,91,92,34,8,2,1.97,11,175,436,106,26,6,63438,32,65,50,59,101,58,101,110,57,36,55,36
Ashland,16593,13530,369,16,1450,740,0,236,252,8066,8527,1186,2951,918,1924,2710,2939,2159,1015,791,40,16548,45,15407,12286,3121,2303,432,358,28,12261,6077,6184,8999,7358,495,25,0,133,513,0,0,0,9,69,82,315,33.1,6385,2.59,1464,2052,1223,1122,380,104,40,1.91,116,1793,3459,652,299,66,92974,203,323,510,317,265,414,570,820,812,442,903,806
Attleboro,43593,36608,1247,64,1973,2765,27,169,740,21294,22299,2802,7109,3447,5615,6799,7178,5034,2829,2780,40,43029,564,40791,35014,5777,3391,1444,783,159,34701,17071,17630,23019,18157,2257,168,13,67,817,0,0,9,115,688,41,687,27.2,16884,2.55,4461,5249,3008,2578,1075,335,178,1.86,1017,4956,7578,2394,673,266,64634,628,1370,1158,1468,1542,1606,1897,2517,1965,1111,1121,501
Auburn,16188,15082,154,21,299,426,3,20,183,7806,8382,791,2607,1077,1684,2277,2603,2192,1366,1591,44,16039,149,15397,14251,1146,759,324,52,11,13142,6079,7063,8304,7368,501,11,0,11,18,7,0,0,0,131,63,194,23.5,6542,2.45,1822,2179,1058,960,361,120,42,1.87,244,2139,2909,849,292,109,71375,181,465,677,514,461,434,798,1187,871,328,397,229
Avon,4356,3615,414,1,120,121,0,30,55,2109,2247,224,682,308,435,612,756,598,364,377,44,4355,1,4132,3687,445,252,152,41,0,3544,1619,1925,2204,1971,158,22,0,0,22,0,0,0,0,9,0,22,25.6,1709,2.55,454,551,280,250,113,46,15,1.9,35,513,800,309,52,0,67313,23,102,219,100,125,173,187,225,308,116,113,18
Ayer,7427,6045,425,15,266,421,11,41,203,3735,3692,490,1185,728,982,1107,1306,780,435,414,38,7168,259,6937,6020,917,660,197,23,37,6110,3201,2909,3687,2803,302,17,0,0,154,0,0,0,29,141,26,215,27.9,3118,2.3,1048,989,492,358,173,45,13,1.55,447,995,1287,279,109,1,55863,127,448,158,300,352,295,246,444,216,253,171,108
Barnstable,45193,39512,1291,255,560,1418,18,892,1247,21780,23413,2088,6196,3135,4403,5099,7690,7095,4755,4732,47,44830,363,43105,38220,4885,2868,1139,604,274,38491,18351,20140,22525,18478,1985,338,0,14,30,9,66,0,79,619,93,814,22.9,19225,2.33,5572,7253,2904,2165,875,318,138,1.78,1270,6475,7782,2765,721,212,62264,1100,1383,1599,1998,1463,1653,2235,3228,1771,786,1052,957
Barre,5398,5132,48,12,28,103,0,7,68,2727,2671,290,1092,427,513,752,927,721,351,325,40,5293,105,5108,4898,210,200,0,10,0,4418,2125,2293,2799,2164,467,0,0,0,0,0,0,0,0,12,0,156,34.3,2025,2.61,488,675,321,322,140,61,18,2,41,602,917,298,124,43,75423,76,180,163,100,121,149,213,409,247,170,105,92
Becket,1779,1699,11,4,8,33,0,4,20,896,883,80,233,105,158,215,380,312,197,99,48,1779,0,1699,1625,74,74,0,0,0,1333,634,699,732,621,55,9,0,0,0,0,0,0,0,12,7,28,29.9,763,2.33,211,308,107,82,37,11,7,1.68,15,329,335,56,28,0,42031,66,98,102,82,97,18,71,63,57,42,39,28
Bedford,13320,11184,282,17,1250,356,3,10,218,6652,6668,715,2394,701,1056,1773,2409,1793,1129,1350,45,12813,507,12605,10577,2028,1522,395,111,0,10197,4828,5369,6200,5131,291,64,0,64,13,0,0,15,24,166,23,409,27.3,5130,2.5,1313,1716,857,867,272,76,29,1.87,204,1418,2525,807,162,14,107639,62,217,253,209,339,393,291,652,556,472,927,759
Belchertown,14649,13504,190,18,304,385,6,29,213,7133,7516,806,2885,1022,1387,2199,2744,2105,863,638,41,14645,4,13843,12677,1166,926,168,71,1,11107,5297,5810,8051,6660,797,0,0,0,0,0,0,0,21,53,110,410,27.6,5595,2.62,1216,1893,987,1012,342,113,32,2,239,1264,2824,887,293,88,77090,230,399,366,387,392,525,446,1022,877,394,346,211
Bellingham,16332,14985,217,10,473,409,3,38,197,7932,8400,1048,2811,1189,1836,2608,2918,2016,1081,825,40,16316,16,15284,13799,1485,1253,205,27,0,12696,6192,6504,8362,7162,734,12,0,22,165,0,0,0,0,49,14,204,33.3,6155,2.65,1320,2018,1180,1047,404,127,59,1.99,132,1647,3028,891,386,71,78290,142,355,443,425,508,544,566,1053,973,419,591,136
Belmont,24729,20118,443,18,2724,754,3,80,589,11620,13109,1554,4532,1288,2674,3705,4012,3064,1952,1948,42,24534,195,23175,17242,5933,4050,1294,462,127,19299,8747,10552,12425,8228,949,884,13,647,99,0,22,46,208,310,65,954,26,9651,2.54,2333,3191,1787,1560,542,181,57,1.65,520,3629,4357,973,152,20,95197,345,467,582,512,379,475,1009,1275,1219,830,1087,1471
Berkley,6411,6125,55,6,27,90,1,37,70,3162,3249,333,1328,522,543,1105,1239,773,356,212,40,6395,16,6078,5446,632,455,50,61,66,4895,2441,2454,3332,2848,252,0,0,0,40,0,0,11,0,51,20,110,30.3,2109,3.03,258,627,432,501,206,55,30,2.36,0,268,1096,525,154,66,81125,7,139,205,116,96,155,208,370,322,243,137,111
Berlin,2866,2715,18,7,40,44,0,6,36,1418,1448,130,479,149,243,364,564,414,297,226,46,2863,3,2736,2630,106,72,25,8,1,2286,1139,1147,1497,1188,67,0,0,4,0,0,0,0,0,39,31,168,27.4,1125,2.54,245,426,184,178,65,19,8,2.11,22,232,541,267,57,6,92917,8,43,115,27,82,53,107,197,128,92,138,135
Bernardston,2129,2070,4,3,10,17,0,0,25,1065,1064,84,303,158,170,261,406,366,191,190,48,2129,0,2045,1999,46,46,0,0,0,1884,1016,868,1226,1078,62,0,0,0,0,0,0,0,0,15,0,71,20.2,890,2.39,216,355,144,125,33,14,3,1.97,21,314,318,169,47,21,52875,18,104,125,139,42,53,146,96,56,67,30,14
Beverly,39502,36105,584,42,677,1397,23,175,499,18721,20781,2100,5584,4838,4805,5003,6184,5205,2739,3044,40,36988,2514,37402,34380,3022,1898,626,420,78,32737,14946,17791,20641,15877,1267,107,0,184,1159,0,16,9,54,1098,99,771,25,15850,2.33,4960,5222,2551,2072,747,215,83,1.67,1369,5780,6388,1608,475,230,66671,1087,1332,1098,989,1246,1407,1556,1885,1569,1248,1362,1071
Billerica,40243,35568,826,48,2186,1035,8,74,498,20293,19950,2218,7123,3093,4828,6137,7061,4881,3023,1879,40,39197,1046,38025,33396,4629,3310,977,287,55,30791,15013,15778,21028,17701,1876,117,0,170,230,0,13,22,27,216,99,557,27.8,14034,2.79,2770,4385,2604,2509,1138,405,223,2.05,483,3215,6997,2208,732,399,87073,254,605,564,762,1047,863,1695,2705,2413,1332,1296,498
Blackstone,9026,8555,77,21,71,185,3,5,109,4352,4674,485,1658,734,1040,1351,1651,1089,537,481,40,8980,46,8541,7766,775,688,72,15,0,6920,3439,3481,4861,4374,249,0,0,0,45,0,0,14,33,24,36,86,29.4,3403,2.64,772,1111,605,568,237,80,30,2.1,112,848,1483,604,279,77,71875,136,261,191,347,116,277,454,633,461,262,148,117
Blandford,1233,1199,4,1,4,17,0,0,8,640,593,54,193,80,105,159,233,245,95,69,46,1233,0,1179,1099,80,68,9,3,0,960,482,478,657,541,81,0,0,0,0,0,0,0,0,3,0,32,34,492,2.51,103,188,98,69,25,6,3,2.14,11,89,250,113,23,6,72188,9,33,24,36,28,60,65,111,71,20,26,9
Bolton,4897,4577,22,7,130,87,1,3,70,2424,2473,285,1164,245,268,696,1064,712,311,152,43,4897,0,4612,4445,167,143,5,18,1,3547,1747,1800,2300,1869,102,29,0,11,34,0,0,20,8,34,0,193,33.7,1670,2.93,202,579,315,372,133,52,17,2.16,36,265,931,306,95,37,125741,103,40,68,37,52,51,147,149,171,211,286,355
Boston,617594,290312,138073,1227,54846,107917,182,10078,14959,295951,321643,32420,71290,120011,128084,77341,70160,56051,32910,29327,31,571380,46214,585174,377658,207516,108946,43225,36910,18435,512064,243408,268656,308539,119397,23576,39794,6098,52274,3236,182,868,217,4457,46088,2075,10277,28.4,252699,2.26,93701,77971,37002,24313,11505,4640,3567,0.92,90750,106224,44522,8353,1964,886,50684,33994,29594,21594,20362,19404,17462,22974,27505,18917,12177,13773,14943
Bourne,19754,18261,287,98,232,356,6,126,388,10101,9653,888,2754,2361,1833,2268,3003,2935,1863,1849,44,18108,1646,18866,18053,813,684,101,5,23,16333,7987,8346,9276,8118,422,33,0,0,31,0,0,13,12,317,60,270,27.3,7866,2.3,2341,2974,1128,888,389,100,46,1.79,296,2674,3647,897,334,18,61418,395,820,650,766,602,540,965,1154,738,467,451,318
Boxborough,4996,3940,24,1,813,113,1,14,90,2555,2441,208,1103,320,379,638,1206,721,255,166,43,4996,0,4788,3720,1068,712,195,105,56,3817,1863,1954,2526,2067,108,11,0,0,64,0,0,0,0,48,13,215,29.7,1949,2.56,499,575,351,377,111,28,8,1.94,21,638,900,249,107,34,102222,93,87,119,104,171,45,150,147,346,90,280,317
Boxford,7965,7570,36,2,123,145,0,7,82,3920,4045,324,1919,422,345,922,1768,1216,609,440,45,7965,0,7641,7231,410,372,27,11,0,5882,2928,2954,3844,3049,182,45,0,0,50,0,0,0,20,50,12,436,31.9,2688,2.96,307,921,506,592,270,70,22,2.39,54,348,1270,685,197,134,143045,44,99,66,46,45,101,133,317,311,230,386,910
Boylston,4355,4021,29,9,159,64,0,10,63,2091,2264,221,789,242,356,618,848,686,323,272,45,4343,12,4134,3810,324,207,92,25,0,3424,1718,1706,2339,2087,82,12,0,0,0,0,0,0,0,10,14,134,27.9,1698,2.56,387,591,294,280,113,27,6,1.97,21,555,670,376,51,25,88214,23,30,70,179,117,66,168,286,236,191,65,267
Braintree,35744,30471,911,46,2687,890,10,245,484,16874,18870,2081,6088,2330,4180,5049,5645,4298,2840,3233,42,35199,545,33663,29061,4602,3242,911,330,119,28097,12662,15435,17520,13199,1361,176,50,1908,140,20,0,34,0,217,91,324,30.7,13736,2.56,3757,4172,2326,1996,1013,326,146,1.74,996,4685,5539,2037,343,136,81146,526,823,973,827,958,957,1284,2101,1904,991,1372,1020
Brewster,9820,9370,67,13,86,166,0,29,89,4549,5271,345,1256,554,603,841,1556,1907,1236,1522,54,9519,301,9475,9104,371,307,64,0,0,8510,3951,4559,4627,3879,243,20,0,0,0,0,0,14,75,161,15,220,21.4,4383,2.17,1325,1891,543,414,152,47,11,1.85,134,1409,2094,560,118,68,58374,265,338,256,353,495,583,344,474,660,221,204,190
Bridgewater,26563,23622,1231,55,325,838,0,119,373,13683,12880,1110,4079,4842,2756,3742,4304,2968,1548,1214,37,21801,4762,25453,23218,2235,1453,499,240,43,21311,11675,9636,12156,9687,847,61,0,110,500,0,0,0,0,487,58,406,32.3,7995,2.73,1654,2524,1462,1466,616,185,88,2.04,154,2018,3961,1196,538,128,86002,188,461,317,341,671,553,734,1542,1298,690,856,344
Brimfield,3609,3423,27,10,17,79,0,1,52,1790,1819,157,622,213,299,534,705,577,291,211,45,3609,0,3452,3232,220,155,10,55,0,2767,1357,1410,1740,1504,124,30,0,0,0,0,0,0,0,0,0,82,33.7,1429,2.53,339,517,241,213,79,24,16,1.98,56,407,706,112,68,80,75625,12,84,72,208,147,59,123,246,253,73,125,27
Brockton,93810,40268,27939,253,2131,9357,37,8329,5496,45104,48706,6845,17282,9213,12497,12754,13633,10388,6002,5196,36,92042,1768,86965,56936,30029,16735,7084,4466,1744,72330,33987,38343,42560,32774,4980,1448,17,282,1052,0,108,0,81,1061,215,542,29.3,33303,2.76,8955,8809,5809,4798,2664,1251,1017,1.52,4491,13131,11307,3090,975,309,49913,2545,4057,3493,3413,3178,2367,4136,4907,2265,1511,904,527
Buckland,1902,1829,5,4,13,25,0,1,25,910,992,79,273,122,185,250,327,346,187,133,47,1896,6,1823,1754,69,59,10,0,0,1688,833,855,959,789,66,5,0,0,0,0,0,0,0,35,0,64,27.7,823,2.3,230,324,131,87,36,10,5,1.72,60,273,357,104,29,0,49485,51,85,99,98,81,68,50,132,79,30,29,21
Burlington,24498,19392,787,32,3266,578,5,83,355,11946,12552,1389,4002,1551,3131,3446,3795,3077,2101,2006,42,24476,22,23109,17959,5150,3624,958,428,140,19026,9040,9986,12393,10553,660,379,12,80,59,0,15,0,23,33,51,528,26.3,9269,2.64,2155,3026,1605,1490,643,244,106,1.86,448,2848,4182,1304,307,180,90341,169,547,505,560,615,661,860,1206,1437,936,942,831
